redshift    median_ri     lambda
     0.469740     0.654531      48.4693
     0.423461     0.600813      40.7808
     0.381511     0.556383      49.5524
     0.273338     0.473366      39.8502
     0.548320     0.808599      49.3388
     0.541237     0.783636      42.9927
     0.466372     0.647631      38.4162
     0.288261     0.480968      47.8743
     0.419048     0.590263      37.9128
     0.603203     0.921486      48.1489
     0.637692     0.976454      52.5729
     0.351050     0.541245      44.0148
     0.483981     0.675085      40.6282
     0.222126     0.428690      39.7434
     0.602754     0.921824      50.4372
     0.560735     0.843279      45.7844
     0.553474     0.799114      50.1473
     0.577229     0.874069      47.4624
     0.530552     0.754877      51.3830
     0.596798     0.904161      37.9433
     0.566764     0.862118      41.5435
     0.220423     0.438644      38.1416
     0.366066     0.558020      43.9690
     0.408822     0.572430      43.3131
     0.494019     0.689173      42.7792
     0.429990     0.604055      43.6487
     0.237443     0.447889      45.5403
     0.590432     0.888762      52.7559
